Player,Team,Comb,Asst,Solo,Sck
Jaylon Jones,Chicago Bears,15,2,9,0.0
Marist Liufau,Dallas Cowboys,15,4,9,0.0
Michael Pierce,Baltimore Ravens,15,10,4,1.0
Khalen Saunders,New Orleans Saints,15,7,8,1.0
Montez Sweat,Chicago Bears,15,5,7,3.5
Dalvin Tomlinson,Cleveland Browns,15,7,6,3.0
Khyiris Tonga,Arizona Cardinals,15,11,3,0.0
Joe Tryon-Shoyinka,Tampa Bay Buccaneers,15,8,6,1.0
Joshua Uche,Kansas City Chiefs,15,3,11,2.0
K'Von Wallace,Seattle Seahawks,15,6,8,0.0
Levi Wallace,Denver Broncos,15,3,10,0.0
Tershawn Wharton,Kansas City Chiefs,15,7,6,2.5
Yasir Abdullah,Jacksonville Jaguars,14,2,10,0.0
Arik Armstead,Jacksonville Jaguars,14,3,10,1.0
Dane Belton,New York Giants,14,5,8,0.0
Mike Brown,Tennessee Titans,14,8,6,0.0
Taven Bryan,Indianapolis Colts,14,4,7,1.0
Tyson Campbell,Jacksonville Jaguars,14,4,10,0.0
Michael Carter II,New York Jets,14,3,8,0.0
Junior Colson,Los Angeles Chargers,14,7,6,0.0
Michael Danna,Kansas City Chiefs,14,6,6,0.5
Shaquill Griffin,Minnesota Vikings,14,5,7,0.0
Logan Hall,Tampa Bay Buccaneers,14,6,6,3.0
Kris Jenkins,Cincinnati Bengals,14,9,4,1.0
Nazeeh Johnson,Kansas City Chiefs,14,8,6,0.0
Naquan Jones,Arizona Cardinals,14,8,5,2.0
Laiatu Latu,Indianapolis Colts,14,5,9,2.0
Demarcus Lawrence,Dallas Cowboys,14,7,5,3.0
Avonte Maddox,Philadelphia Eagles,14,8,5,0.0
Nick McCloud,New York Giants,14,4,9,0.0
Jaylen McCollough,Los Angeles Rams,14,5,8,0.0
George Odum,San Francisco 49ers,14,2,12,0.0
Micah Parsons,Dallas Cowboys,14,3,8,1.0
Clark Phillips III,Atlanta Falcons,14,2,12,0.0
Winston Reid,Cleveland Browns,14,6,7,0.5
Tavius Robinson,Baltimore Ravens,14,8,5,3.5
Chazz Surratt,New York Jets,14,4,9,0.0
Ja'Sir Taylor,Los Angeles Chargers,14,4,8,0.0
Nate Wiggins,Baltimore Ravens,14,5,8,0.0
Darious Williams,Los Angeles Rams,14,2,9,0.0
Samuel Womack,Indianapolis Colts,14,3,11,0.0
Andrew Billings,Chicago Bears,13,4,6,1.0
